id,union_id,name
77,SIUS,Coimbatore Tirupur Section
77,SIUS,Dharmapuri Section
77,SIUS,Erode Nilgiris Section
77,SIUS,North Tamil Conference
77,SIUS,Pudukottai-Thirumayam Region
77,SIUS,Sivagangai Ramanathapuram Section
77,SIUS,Southeast India Union Section
77,SIUS,South Tamil Conference
77,SIUS,Thanjavur-Karaikal Section
77,SIUS,Theni-Periyakulam Region
77,SIUS,Vellore Section
77,SIUS,Villupuram-Tindivanam Region
78,NZPU,Cook Islands Mission
78,NZPU,French Polynesia Mission
78,NZPU,New Caledonia Mission
78,NZPU,North New Zealand Conference
78,NZPU,New Zealand Pacific Union Conference
78,NZPU,Pitcairn Field Station
78,NZPU,South New Zealand Conference
79,WIUM,Central Java Mission
79,WIUM,Central Sumatra Mission
79,WIUM,East Java Conference
79,WIUM,East Kalimantan Mission
79,WIUM,Jakarta Conference
79,WIUM,North Sumatra Mission
79,WIUM,Nusa Tenggara Mission
79,WIUM,South Sumatra Mission
79,WIUM,West Indonesia Union Mission
79,WIUM,West Java Conference
79,WIUM,West Kalimantan Region
80,WIUC,Central Jamaica Conference
80,WIUC,East Jamaica Conference
80,WIUC,North East Jamaica Conference
80,WIUC,North Jamaica Conference
80,WIUC,Jamaica Union Conference
80,WIUC,West Jamaica Conference
81,NECO,Central Kivu Field
81,NECO,Kibali Ituri Mission
81,NECO,Maniema Mission
81,NECO,North East Congo Union Mission
81,NECO,North Kivu Field
81,NECO,South Kivu Field
81,NECO,Upper Congo Field
82,EAKU,Central Kenya Conference
82,EAKU,Central Rift Valley Conference
82,EAKU,East Kenya Union Conference
82,EAKU,East Nairobi Field
82,EAKU,Kenya Coast Field
82,EAKU,North East Kenya Field
82,EAKU,Nyamira Conference
82,EAKU,Nyamira West Field
82,EAKU,South-East Kenya Field
82,EAKU,South Kenya Conference
82,EAKU,South Nairobi Kajiado Field
82,EAKU,South Rift Valley Field
83,SEAUM,Cambodia Mission
83,SEAUM,Laos Region
83,SEAUM,Southeastern Asia Union Mission
83,SEAUM,Thailand Mission
83,SEAUM,Vietnam Mission
84,SPUC,Central Mindanao Mission
84,SPUC,North Central Mindanao Conference
84,SPUC,Southwestern Philippine Union Conference
84,SPUC,Zamboanga Peninsula Mission
84,SPUC,Western Mindanao Conference
85,IOUM,Central Malagasy Conference
85,IOUM,East Malagasy Conference
85,IOUM,Indian Ocean Union Conference
85,IOUM,Mayotte Field Station
85,IOUM,Mauritius Conference
85,IOUM,North Malagasy Conference
85,IOUM,North West Malagasy Conference
85,IOUM,Reunion Conference
85,IOUM,Seychelles Mission
85,IOUM,South East Malagasy Conference
85,IOUM,South West Malagasy Conference
86,MWUM,Central Malawi Conference
86,MWUM,Malawi Union Conference
86,MWUM,North Malawi Conference
86,MWUM,South Malawi Conference
87,EBUC,Central Minas Conference
87,EBUC,Southeast Brazil Union Conference
87,EBUC,East Minas Conference
87,EBUC,Espirito Santo Conference
87,EBUC,North Minas Mission
87,EBUC,Rio de Janeiro Conference
87,EBUC,Rio Fluminense Conference
87,EBUC,South Minas Conference
87,EBUC,South Espirito Santo Conference
87,EBUC,South Rio Conference
87,EBUC,West Minas Mission
88,MZUM,Central Mission
88,MZUM,Mozambique Union Mission
88,MZUM,North-East Mission
88,MZUM,North Mission
88,MZUM,South Mission
89,WKEU,Central Nyanza Conference
89,WKEU,Kenya Lake Conference
89,WKEU,Lake Victoria Field
89,WKEU,North Rift Valley Field
89,WKEU,Western Kenya Conference
89,WKEU,Ranen Conference
89,WKEU,South East Nyanza Field
89,WKEU,Southern Kenya Lake Field
89,WKEU,South West Nyanza Field
89,WKEU,West Kenya Union Conference
89,WKEU,Greater Rift Valley Conference
89,WKEU,West Rift Valley Field
90,SBUC,Central Parana Conference
90,SBUC,Central Rio Grande do Sul Conference
90,SBUC,North Santa Catarina Conference
90,SBUC,North Parana Conference
90,SBUC,Rio Grande do Sul Conference
90,SBUC,South Brazil Union Conference
90,SBUC,Santa Catarina Conference
90,SBUC,South Parana Conference
90,SBUC,West Parana Conference
90,SBUC,North Rio Grande do Sul Conference
91,CPUC,Central Philippine Union Conference
91,CPUC,Central Visayan Conference
91,CPUC,East Visayan Conference
91,CPUC,Negros Occidental Conference
91,CPUC,Negros Oriental-Siquijor Mission
91,CPUC,Romblon Mission
91,CPUC,Samar Mission
91,CPUC,West Visayan Conference
92,NSUC,Carolina Conference
92,NSUC,Florida Conference
92,NSUC,Georgia-Cumberland Conference
92,NSUC,Gulf States Conference
92,NSUC,Kentucky-Tennessee Conference
92,NSUC,Southern Union Conference
92,NSUC,South Atlantic Conference
92,NSUC,South Central Conference
92,NSUC,Southeastern Conference
93,CRUC,Caribbean Union Conference
93,CRUC,East Caribbean Conference
93,CRUC,Grenada Conference
93,CRUC,Guyana Conference
93,CRUC,North Caribbean Conference
93,CRUC,South Caribbean Conference
93,CRUC,South Leeward Conference
93,CRUC,St. Lucia Mission
93,CRUC,St. Vincent and the Grenadines Mission
93,CRUC,Suriname Mission
93,CRUC,Tobago Conference
94,RWUM,Central Rwanda Field
94,RWUM,East Central Rwanda Field
94,RWUM,North-East Rwanda Field
94,RWUM,North Rwanda Field
94,RWUM,North-West Rwanda Field
94,RWUM,Rwanda Union Mission
94,RWUM,South-East Rwanda Field
94,RWUM,South Rwanda Field
94,RWUM,West Rwanda Field
95,ERUM,Central Siberian Mission
95,ERUM,East Russian Union Mission
95,ERUM,East Siberian Mission
95,ERUM,West Siberian Mission
96,MAUC,Central States Conference
96,MAUC,Dakota Conference
96,MAUC,Iowa-Missouri Conference
96,MAUC,Kansas-Nebraska Conference
96,MAUC,Mid-America Union Conference
96,MAUC,Minnesota Conference
96,MAUC,Rocky Mountain Conference
97,CUUC,Central Conference
97,CUUC,East Conference
97,CUUC,Cuban Union Conference
97,CUUC,West Conference
97,CUUC,Del Amanecer Conference
97,CUUC,Pinarena Mission
97,CUUC,Villa Perla Mission
98,UGUM,Central Uganda Conference
98,UGUM,Eastern Uganda Field
98,UGUM,North Buganda Field
98,UGUM,Northern Uganda Field
98,UGUM,Rwenzori Field
98,UGUM,Southwestern Uganda Field
98,UGUM,Uganda Union Mission
98,UGUM,West Buganda Field
98,UGUM,Western Uganda Field
99,CUKC,Central Ukrainian Conference
100,WESA,Cabo Verde Conference
100,WESA,Gambia Region
100,WESA,Guinea-Bissau Mission
100,WESA,Mali Mission
100,WESA,Senegal/Mauritania Mission
100,WESA,Western Sahel Union Mission
101,TEDAF,Cyprus Region
101,TEDAF,Greek Mission
101,TEDAF,Iceland Conference
102,NZAM,Midlands East Zambia Conference
102,NZAM,Copperbelt Zambia Conference
102,NZAM,Luapula Zambia Conference
102,NZAM,Midlands West Zambia Conference
102,NZAM,Northwest Zambia Conference
102,NZAM,North Zambia Field
102,NZAM,Northern Zambia Union Conference
103,ZIMC,Central Zimbabwe Conference
103,ZIMC,North-West Zimbabwe Conference
103,ZIMC,Zimbabwe Central Union Conference
103,ZIMC,Zimbabwe West Union Conference
104,SEPH,Davao Mission
104,SEPH,Northeastern Mindanao Mission
104,SEPH,Northern Davao Mission
104,SEPH,Southern Mindanao Mission
105,NGUM,Delta Conference
105,NGUM,Edo Conference
105,NGUM,Ekiti Conference
105,NGUM,Kogi Region
105,NGUM,Kwara Conference
105,NGUM,Lagos Atlantic Conference
105,NGUM,Lagos Mainland Conference
105,NGUM,Western Nigeria Union Conference
105,NGUM,Ogun Conference
105,NGUM,Osun Conference
105,NGUM,Ondo Mission
105,NGUM,Oyo Conference
106,GHUC,Diamond Field Ghana Conference
106,GHUC,East Ghana Conference
106,GHUC,Eastern View Ghana Conference
106,GHUC,Southern Ghana Union Conference
